gene,log2FC,pvalue,padj,-log10_padj,Significance
SFTA1P,0.18841201889257464,0.31012471874383835,0.5316689318791414,0.27435871698066483,Not Significant
LINC00294,-0.1263430810973751,0.3101618991071317,0.5316893868451364,0.27434200863559655,Not Significant
LOC100130111,0.15007592201788877,0.31018898667453065,0.5316893868451364,0.27434200863559655,Not Significant
PIH2,-0.1921210933574503,0.3102063647288342,0.5316893868451364,0.27434200863559655,Not Significant
LOC100131662,0.20161491307406373,0.3102438240223931,0.5317137598226482,0.2743221007583706,Not Significant
LINC00868,0.16431695307004457,0.3103158032039561,0.5317972868928557,0.2742538826691138,Not Significant
GABARAPL3,0.21127534921113544,0.31034715091525683,0.5318111753251256,0.27424254077082755,Not Significant
CACNG8,-0.10710859880078938,0.31038028937955414,0.5318281300834418,0.2742286951787327,Not Significant
UBE2C,0.10414380464275146,0.3104724613384572,0.5319063957636766,0.2741647875922366,Not Significant
XRCC6,-0.0975827052557515,0.3104596467962925,0.5319063957636766,0.2741647875922366,Not Significant
CAMSAP1,-0.09007654650645175,0.31062599564082694,0.5321295882196856,0.2739825921497368,Not Significant
DKFZp564H213,-0.22091950557732806,0.31070436198621193,0.5322239875903668,0.273905555482935,Not Significant
TMEM63A,-0.08491659129735533,0.31092829169144615,0.5325676983006653,0.2736251782560724,Not Significant
SSRP1,0.09815500954678147,0.31101112857869173,0.5326697074541856,0.27354200052991745,Not Significant
C5orf56,0.12085333132348663,0.3111185302385901,0.5327370462516611,0.2734871015571096,Not Significant
HGFAC,-0.1706581248115756,0.311120297727915,0.5327370462516611,0.2734871015571096,Not Significant
LOC101928963,0.14553884031755757,0.3111087066622854,0.5327370462516611,0.2734871015571096,Not Significant
PCP2,-0.1742292231936479,0.3111628379195562,0.5327700165830611,0.2734602245264496,Not Significant
KCNQ3,-0.10295313703815212,0.31120271594506493,0.5327984241861033,0.27343706831277764,Not Significant
DRD3,0.1450138679529704,0.31132575125081924,0.5329089424360457,0.2733469920539942,Not Significant
ELN,-0.14957898703647743,0.31133714307441535,0.5329089424360457,0.2733469920539942,Not Significant
KRT6A,-0.2819858305697908,0.31132562717829587,0.5329089424360457,0.2733469920539942,Not Significant
AK057657,-0.08083278062506094,0.3116720952166929,0.5332030461012363,0.27310737819820197,Not Significant
CIART,-0.18429263390613893,0.31157572160787406,0.5332030461012363,0.27310737819820197,Not Significant
CPNE4,0.14993548387096858,0.31166206913615346,0.5332030461012363,0.27310737819820197,Not Significant
EFCAB14,-0.060749328854241016,0.3116221298095565,0.5332030461012363,0.27310737819820197,Not Significant
RP11-559M23.1,-0.09508984021706146,0.3116478286476816,0.5332030461012363,0.27310737819820197,Not Significant
SCAMP5,-0.12634353331323328,0.311562106978215,0.5332030461012363,0.27310737819820197,Not Significant
SEPT12,-0.13068254446789176,0.31158880617382656,0.5332030461012363,0.27310737819820197,Not Significant
ASIC5,-0.23056044618631188,0.31173239122934787,0.5332583018935968,0.2730623746248761,Not Significant
FLT4,-0.1297704753291115,0.31177431400483585,0.5332583018935968,0.2730623746248761,Not Significant
MYO1H,0.22123263993568573,0.31176135520370635,0.5332583018935968,0.2730623746248761,Not Significant
SFXN4,0.09022819314641921,0.3118897242481899,0.5334158238001634,0.27293410509316024,Not Significant
ZNF732,0.17921480253240957,0.31195847196093024,0.5334935225701535,0.27287084920880267,Not Significant
C10orf62,0.2021961611898313,0.31201539586035093,0.5335509908284626,0.2728240692531795,Not Significant
PRDX6,-0.10164596522962219,0.3121882736109864,0.5338067184978229,0.27261596447850495,Not Significant
GIMAP1,0.14780516531002053,0.31221199386051474,0.5338073845111775,0.27261542262368316,Not Significant
ERBB4,-0.11507828358958776,0.31223575572878853,0.5338081215777242,0.2726148229622279,Not Significant
ERAP1,0.07717690684353515,0.3122918235693342,0.53385543683423,0.27257633002189685,Not Significant
RP11-329B9.5,0.21549080494422784,0.31231009711652835,0.53385543683423,0.27257633002189685,Not Significant
HIPK4,-0.15927032459049145,0.31234924480836296,0.5338824683412031,0.27255434029153036,Not Significant
CACNB2,-0.12632303286101815,0.31237892978535303,0.5338933228870454,0.2725455105926333,Not Significant
CHL1,-0.2362327906743026,0.3124203298477102,0.5339241968117425,0.2725203969849484,Not Significant
LIPF,-0.23096955079891346,0.31252451225894634,0.534062352713772,0.2724080353709279,Not Significant
APLN,-0.1794586473721219,0.31261073838027104,0.5341400678503389,0.27234484275053844,Not Significant
GPR3,0.2110078384082011,0.31264002572778576,0.5341400678503389,0.27234484275053844,Not Significant
PITPNB,0.04516520952668325,0.3126215569090864,0.5341400678503389,0.27234484275053844,Not Significant
LOC101927675,-0.17055110039191906,0.3128423307397902,0.5344058927375243,0.27212876166783945,Not Significant
TBCA,0.07289468395136414,0.31282005097051774,0.5344058927375243,0.27212876166783945,Not Significant
OCA2,0.22024520148728882,0.3129563421056286,0.5345607396324586,0.27200294080413084,Not Significant
HP08942,-0.2010862224902008,0.31311650292447657,0.5347700984143761,0.271832884238564,Not Significant
NPAS1,-0.15629303587579046,0.313125655964047,0.5347700984143761,0.271832884238564,Not Significant
LSM12,0.06476685760225272,0.31317894168082966,0.5348023424756265,0.2718066991624642,Not Significant
STX8,0.1203412219877418,0.3131912843894633,0.5348023424756265,0.2718066991624642,Not Significant
C11orf95,-0.13461471208923592,0.3132256258142829,0.5348210685545368,0.27179149262779906,Not Significant
TNR,-0.11945787693029082,0.31325479388960636,0.5348309591966416,0.2717834611349822,Not Significant
LINC00161,-0.1687569088533805,0.31332507415108124,0.5349110354108894,0.2717184423580813,Not Significant
CTB-119C2.1,0.22446347100793962,0.3133615227074404,0.5349199165651651,0.27171123180525913,Not Significant
LOC101929480,-0.2234337252537421,0.3133770350366903,0.5349199165651651,0.27171123180525913,Not Significant
MTO1,0.06537451512411002,0.31341207687251327,0.5349398223680047,0.2716950708450557,Not Significant
CHTF18,-0.09708210230127425,0.3134444073496035,0.534955097729295,0.2716826696176206,Not Significant
AMBN,-0.1817315847653489,0.31361228998877483,0.5350819683029954,0.2715796840443517,Not Significant
HCFC1,-0.10042354202257583,0.3135901249687099,0.5350819683029954,0.2715796840443517,Not Significant
LOC101927839,-0.153647372123404,0.31359629611747925,0.5350819683029954,0.2715796840443517,Not Significant
RP11-295P9.12,0.23842498241382853,0.3135831317012473,0.5350819683029954,0.2715796840443517,Not Significant
RP11-384P7.7,-0.2223724248819201,0.3137396202455699,0.5352593029019939,0.2714357758525026,Not Significant
HIST3H2A,0.14764440759722816,0.3138539007811464,0.53541434908087,0.2713099939202171,Not Significant
FAM83E,-0.1090973771480247,0.3139198749282633,0.5354869707268072,0.27125109179812196,Not Significant
UBAC1,-0.07134599537734714,0.3139918409391682,0.535569801751019,0.2711839187821966,Not Significant
